arc_model,baseline_set,N,budget_mps,horizon_days,baseline,candidate_count,overestimation_count,overestimation_rate,underestimation_count,underestimation_rate,excess_0_count,excess_1_count,excess_2_count,excess_ge3_count,max_excess,min_excess
v2_two_edge,v2_repaired,36,50,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,36,50,30,LINEAR_MIN,2000,160,0.080000000000000002,0,0,1840,160,0,0,1,0
v2_two_edge,v2_repaired,36,50,30,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,0,2000,19,8
v2_two_edge,v2_repaired,36,50,60,EQUAL_SECTOR,2000,1999,0.99950000000000006,0,0,1,25,110,1864,10,0
v2_two_edge,v2_repaired,36,50,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,36,50,60,LINEAR_MIN,2000,307,0.1535,0,0,1693,307,0,0,1,0
v2_two_edge,v2_repaired,36,50,60,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,0,2000,14,6
v2_two_edge,v2_repaired,36,50,90,EQUAL_SECTOR,2000,1999,0.99950000000000006,0,0,1,29,132,1838,8,0
v2_two_edge,v2_repaired,36,50,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,36,50,90,LINEAR_MIN,2000,435,0.2175,0,0,1565,435,0,0,1,0
v2_two_edge,v2_repaired,36,50,90,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,6,1994,8,2
v2_two_edge,v2_repaired,36,75,30,EQUAL_SECTOR,2000,1995,0.99750000000000005,0,0,5,25,120,1850,11,0
v2_two_edge,v2_repaired,36,75,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,36,75,30,LINEAR_MIN,2000,164,0.082000000000000003,0,0,1836,164,0,0,1,0
v2_two_edge,v2_repaired,36,75,30,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,0,2000,19,9
v2_two_edge,v2_repaired,36,75,60,EQUAL_SECTOR,2000,2000,1,0,0,0,19,93,1888,10,1
v2_two_edge,v2_repaired,36,75,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,36,75,60,LINEAR_MIN,2000,337,0.16850000000000001,0,0,1663,337,0,0,1,0
v2_two_edge,v2_repaired,36,75,60,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,0,2000,12,5
v2_two_edge,v2_repaired,36,75,90,EQUAL_SECTOR,2000,1997,0.99850000000000005,0,0,3,37,216,1744,7,0
v2_two_edge,v2_repaired,36,75,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,36,75,90,LINEAR_MIN,2000,435,0.2175,0,0,1565,435,0,0,1,0
v2_two_edge,v2_repaired,36,75,90,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,34,1966,7,2
