scope_boundary,N,budget_mps,horizon_days,evaluation_start_offset_sec,arc_model,K_allowed,K_max,n_feasible,frontier_P95_primary_min,previous_frontier_P95_primary_min,delta_P95_min,is_max_improvement_K,max_improvement_K,max_improvement_delta_P95_min
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,842400,v2_two_edge,12,12,3000,41,41,0,false,3,420
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,1,12,0,,,,false,3,423
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,2,12,66,549,,,false,3,423
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,3,12,262,126,549,423,true,3,423
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,4,12,433,42,126,84,false,3,423
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,5,12,612,40,42,2,false,3,423
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,6,12,842,40,40,0,false,3,423
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,7,12,1107,40,40,0,false,3,423
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,8,12,1425,40,40,0,false,3,423
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,9,12,1799,40,40,0,false,3,423
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,10,12,2177,40,40,0,false,3,423
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,11,12,2581,40,40,0,false,3,423
evaluated_candidate_set_only_arc_conditioned_pools,12,75,30,1447200,v2_two_edge,12,12,3000,40,40,0,false,3,423
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,1,12,25,558,,,false,2,263
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,2,12,313,295,558,263,true,2,263
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,3,12,516,103,295,192,false,2,263
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,4,12,813,41,103,62,false,2,263
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,5,12,1086,41,41,0,false,2,263
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,6,12,1376,41,41,0,false,2,263
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,7,12,1641,41,41,0,false,2,263
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,8,12,1923,41,41,0,false,2,263
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,9,12,2189,41,41,0,false,2,263
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,10,12,2467,41,41,0,false,2,263
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,11,12,2752,41,41,0,false,2,263
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,842400,v2_two_edge,12,12,3000,41,41,0,false,2,263
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,1,12,25,586,,,false,2,290
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,2,12,313,296,586,290,true,2,290
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,3,12,516,100,296,196,false,2,290
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,4,12,813,40,100,60,false,2,290
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,5,12,1086,40,40,0,false,2,290
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,6,12,1376,40,40,0,false,2,290
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,7,12,1641,40,40,0,false,2,290
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,8,12,1923,40,40,0,false,2,290
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,9,12,2189,40,40,0,false,2,290
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,10,12,2467,40,40,0,false,2,290
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,11,12,2752,40,40,0,false,2,290
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,12,12,3000,40,40,0,false,2,290
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,1,12,252,540,,,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,2,12,504,295,540,245,true,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,3,12,756,97,295,198,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,4,12,1008,41,97,56,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,5,12,1257,41,41,0,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,6,12,1506,41,41,0,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,7,12,1755,41,41,0,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,8,12,2012,41,41,0,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,9,12,2331,41,41,0,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,10,12,2738,41,41,0,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,11,12,2966,41,41,0,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,12,12,3000,41,41,0,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,1,12,252,549,,,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,2,12,504,296,549,253,true,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,3,12,756,97,296,199,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,4,12,1008,40,97,57,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,5,12,1257,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,6,12,1506,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,7,12,1755,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,8,12,2012,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,9,12,2331,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,10,12,2738,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,11,12,2966,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,12,12,3000,40,40,0,false,2,253
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,1,24,0,,,,false,7,251
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,2,24,0,,,,false,7,251
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,3,24,0,,,,false,7,251
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,4,24,6,582,,,false,7,251
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,5,24,94,549,582,33,false,7,251
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,6,24,126,542,549,7,false,7,251
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,7,24,136,291,542,251,true,7,251
evaluated_candidate_set_only_arc_conditioned_pools,24,25,30,842400,v2_two_edge,8,24,180,289,291,2,false,7,251
